i 的
o 一
a 是
h 在
u 人
k 有
x 不
r 国
s 这
n 了
m 中
l 和
c 为
y 们
p 他
q 我
j 个
d 以
g 大
f 上
v 地
b 要
w 会
er 对
es 时
en 到
em 于
el 来
ec 生
ei 能
eo 年
ea 可
eh 而
eu 行
ek 出
ex 发
ed 用
eg 作
ef 种
ev 就
eb 法
ew 所
ey 成
ep 学
eq 自
ej 经
tir 方
tis 之
tin 理
tor 定
tos 也
ton 部
tar 说
tas 分
tan 家
thr 同
ths 主
thn 其
tim 后
til 动
tic 过
tom 多
tol 现
toc 进
tam 得
tal 本
tac 如
thm 业
thl 民
thc 者
tur 下
tus 事
tun 实
tkr 工
tks 当
tkn 性
txr 因
txs 些
txn 机
tum 与
tul 它
tuc 力
tkm 产
tkl 日
tkc 关
txm 政
txl 公
txc 第
tri 使
tro 然
tra 物
trh 面
tsi 由
tso 体
tsa 制
tsh 那
tni 或
tno 但
tna 全
tnh 都
